name,ID,status,group,metric,unit,date
Fan1,30h,ok,7.1,3240,RPM,10-20-2023 06:58:50
Fan2,31h,ok,7.1,3240,RPM,10-20-2023 06:58:50
Fan3,32h,ok,7.1,3240,RPM,10-20-2023 06:58:50
Fan4,33h,ok,7.1,3240,RPM,10-20-2023 06:58:50
Fan5,34h,ok,7.1,3720,RPM,10-20-2023 06:58:50
Fan6,35h,ok,7.1,3720,RPM,10-20-2023 06:58:50
InletTemp,04h,ok,7.1,20,degreesC,10-20-2023 06:58:50
ExhaustTemp,01h,ok,7.1,26,degreesC,10-20-2023 06:58:50
Temp,0Eh,ok,3.1,36,degreesC,10-20-2023 06:58:50
Temp,0Fh,ok,3.2,37,degreesC,10-20-2023 06:58:50
Current1,6Ah,ok,10.1,"0,40",Amps,10-20-2023 06:58:50
Voltage1,6Ch,ok,10.1,244,Volts,10-20-2023 06:58:50
PwrConsumption,77h,ok,7.1,98,Watts,10-20-2023 06:58:50
