name,ID,status,group,metric,unit,date
Fan1,30h,ok,7.1,3240,RPM,10-19-2023 03:01:22
Fan2,31h,ok,7.1,3240,RPM,10-19-2023 03:01:22
Fan3,32h,ok,7.1,3240,RPM,10-19-2023 03:01:22
Fan4,33h,ok,7.1,3240,RPM,10-19-2023 03:01:22
Fan5,34h,ok,7.1,3720,RPM,10-19-2023 03:01:22
Fan6,35h,ok,7.1,3720,RPM,10-19-2023 03:01:22
InletTemp,04h,ok,7.1,21,degreesC,10-19-2023 03:01:22
ExhaustTemp,01h,ok,7.1,27,degreesC,10-19-2023 03:01:22
Temp,0Eh,ok,3.1,38,degreesC,10-19-2023 03:01:22
Temp,0Fh,ok,3.2,39,degreesC,10-19-2023 03:01:22
Current1,6Ah,ok,10.1,"0,60",Amps,10-19-2023 03:01:22
Voltage1,6Ch,ok,10.1,240,Volts,10-19-2023 03:01:22
PwrConsumption,77h,ok,7.1,126,Watts,10-19-2023 03:01:22
