name,ID,status,group,metric,unit,date
Fan1,30h,ok,7.1,3240,RPM,10-20-2023 18:41:55
Fan2,31h,ok,7.1,3240,RPM,10-20-2023 18:41:55
Fan3,32h,ok,7.1,3240,RPM,10-20-2023 18:41:55
Fan4,33h,ok,7.1,3240,RPM,10-20-2023 18:41:55
Fan5,34h,ok,7.1,3480,RPM,10-20-2023 18:41:55
Fan6,35h,ok,7.1,3480,RPM,10-20-2023 18:41:55
InletTemp,04h,ok,7.1,20,degreesC,10-20-2023 18:41:55
ExhaustTemp,01h,ok,7.1,26,degreesC,10-20-2023 18:41:55
Temp,0Eh,ok,3.1,35,degreesC,10-20-2023 18:41:55
Temp,0Fh,ok,3.2,38,degreesC,10-20-2023 18:41:55
Current1,6Ah,ok,10.1,"0,40",Amps,10-20-2023 18:41:55
Voltage1,6Ch,ok,10.1,242,Volts,10-20-2023 18:41:55
PwrConsumption,77h,ok,7.1,98,Watts,10-20-2023 18:41:55
